This Filename: ,Regneration_Inventory_Post-Logging_MT 2004.xls,,
Date Created:,,,
Team ID:,ND-11,,


Data contact,Carlos Passos,,
Data were collected in a one time inventory done in January 2004,,,



Column,Column headings,Units,Descriptions
1,ID_number,,Each tree measured within a study sub-plot was given a unique id number
2,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,62,11,18,C,C,leaning
3,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,63,7,24,B,A,None
4,Jan-04,Embireira,Xylopia sp,Annonaceae,tree,H,29,RILVI,96,22,27,A,A,None
5,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,63,8,16,C,B,None
6,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,42,4,13,D,C,None
7,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,29,RILVI,38.5,4,12,D,C,None
8,Jan-04,Borracheira/caucho,Castilloa ulei Waurg,Moraceae,tree,H,29,RILVI,182,12,22,B,A,None
9,Jan-04,Tucum,Astrocaryum aculeatum G.F.W. Meyer,Arecaceae,palm,H,29,RILVI,99,21,24,B,B,None
10,Jan-04,Tres-folhas,Metrodorea sp,Rutaceae,tree,H,29,RILVI,42,18,24,B,B,None
11,Jan-04,Not identified,Not provided,Not provided,Not provided,H,29,RILVI,48,6,6,E,D,leaning
12,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,44,7,16,C,C,None
13,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,50,6,16,D,B,None
14,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,41.5,7,9,E,A,None
15,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,96,7,20,B,B,None
16,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,52,8,16,C,B,None
17,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,50,8,20,B,B,None
18,Jan-04,Canelao,Nectandra robusta Loefl.,Lauraceae,tree,H,29,RILVI,81,7,22,B,A,None
19,Jan-04,Roxinho,Peltogyne sp,Caesalpinaceae,tree,H,29,RILVI,47.3,20,24,B,B,None
20,Jan-04,Inaja,Maximiliana maripa (Aubl.) Drude,Arecaceae,palm,H,29,RILVI,80,15,19,B,A,None
21,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,47.5,3,12,C,C,None
22,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,78.5,6,18,C,B,broken off
23,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,29,RILVI,92,10,18,B,B,None
1,Jan-04,Angico,Anadenanthera macrocarpa (Bentham) Brenan,Mimosaceae,tree,H,30,RILVI,93,7,25,B,B,leaning
2,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,30,RILVI,131,7,10,B,B,None
3,Jan-04,Angico,Anadenanthera macrocarpa (Bentham) Brenan,Mimosaceae,tree,H,30,RILVI,104,7,15,B,C,broken off
4,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,30,RILVI,113,6,18,B,C,None
5,Jan-04,Cega-corrente,Not provided,Moraceae,tree,H,30,RILVI,122,8,23,B,D,None
6,Jan-04,Angico,Anadenanthera macrocarpa (Bentham) Brenan,Mimosaceae,tree,H,30,RILVI,92,9,24,B,A,None
7,Jan-04,Guarantã,Esenbeckia leiocarpa Engl.,Rutaceae,tree,H,30,RILVI,141.5,8,24,B,B,None
8,Jan-04,Amescla-aroeira,Protium heptaphyllum,Burseraceae,tree,H,30,RILVI,101.5,7,24,B,A,None
1,Jan-04,Ingazeiro,Inga sp,Mimosaceae,tree,H,32,RILVI,100,18,25,B,B,None
